step,type,account,result,journal,ledger_index,hash,explorer
issuer,AccountSet,rnUXWp1Wkc1Cx9wMeCD1qLjBn2oNJeF4VQ,tesSUCCESS,,20651627,E9ED3DC9F13E58D6809A4FA74B224A32D5B5AF3BF2A5FF53C9C1E61479322846,https://testnet.xrpl.org/transactions/E9ED3DC9F13E58D6809A4FA74B224A32D5B5AF3BF2A5FF53C9C1E61479322846
issuer,AccountSet,rnUXWp1Wkc1Cx9wMeCD1qLjBn2oNJeF4VQ,tesSUCCESS,,20651629,2853F6FBC9629B12B1981F3912EBBB57097D96730D840A3301B15D65345EDD9C,https://testnet.xrpl.org/transactions/2853F6FBC9629B12B1981F3912EBBB57097D96730D840A3301B15D65345EDD9C
issuer,TrustSet,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651630,297D3138DA83729B10EBA8598D4F006F0BCF25B027157AD81A03968D14ADDF80,https://testnet.xrpl.org/transactions/297D3138DA83729B10EBA8598D4F006F0BCF25B027157AD81A03968D14ADDF80
issuer,TrustSet,rw6ocihADRc5ZpVdCkn3dcXH2Ydpu46ayk,tesSUCCESS,,20651631,BC78256DACC6B68F7D4DF3990070E66EA4096E19701FE14105FE6B448CE5D018,https://testnet.xrpl.org/transactions/BC78256DACC6B68F7D4DF3990070E66EA4096E19701FE14105FE6B448CE5D018
issuer,TrustSet,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,,20651633,22B8273678236D4720DE9D58CD466937E03C5A01009497DA81476FB815BCA3FE,https://testnet.xrpl.org/transactions/22B8273678236D4720DE9D58CD466937E03C5A01009497DA81476FB815BCA3FE
issuer,TrustSet,rBoFXsB28KvW9qXqQdQR95CmGRi7Ky4qXv,tesSUCCESS,,20651634,6644794529919174771E74F658021EE5321715E98B946C4FC1CC096B1B4B2591,https://testnet.xrpl.org/transactions/6644794529919174771E74F658021EE5321715E98B946C4FC1CC096B1B4B2591
issuer,TrustSet,rsgP1oSMo4m84QzzXRWZVPK5u888Ds9Fvc,tesSUCCESS,,20651636,A94F9DA6872FF7A29C86EF1B46B2CDEC03EE3A620146FDCD254C61821F2197A3,https://testnet.xrpl.org/transactions/A94F9DA6872FF7A29C86EF1B46B2CDEC03EE3A620146FDCD254C61821F2197A3
issuer,TrustSet,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,,20651638,3859B307588FD2B2BEE8C083F652F087C5A17207962EBF7F283F3FC7EE9BBB66,https://testnet.xrpl.org/transactions/3859B307588FD2B2BEE8C083F652F087C5A17207962EBF7F283F3FC7EE9BBB66
issuer,TrustSet,rJWq1KD6faxrybaAQehFX2UXikpkvDPRzL,tesSUCCESS,,20651640,77AF6BAEBBBDFE1023670BADE19E7CABBE63F9C6D43EDDECAE14E22B17816B4A,https://testnet.xrpl.org/transactions/77AF6BAEBBBDFE1023670BADE19E7CABBE63F9C6D43EDDECAE14E22B17816B4A
issuer,TrustSet,rDRWpXXCXHeCgLRX7Tp5hUTGkRWtft9x7V,tesSUCCESS,,20651642,F34755BDBEA8D47E645445CAA97594A89DA86263732D080D8380AF6595394AD2,https://testnet.xrpl.org/transactions/F34755BDBEA8D47E645445CAA97594A89DA86263732D080D8380AF6595394AD2
issuer,TrustSet,r3XanZLrXWoi7D9v8RYVVgXdJPfqHNQ4nk,tesSUCCESS,,20651643,26EDACB500E4036A14306428337C04898E5FD42751A2055F8187BE698F71A7F9,https://testnet.xrpl.org/transactions/26EDACB500E4036A14306428337C04898E5FD42751A2055F8187BE698F71A7F9
issuer,TrustSet,rPxzegVg3CswUxkXZDm6kNeWFXZsaq5TcB,tesSUCCESS,,20651645,8265F78A665D07AB3BBF53AE992319C34A5DABF9222B203DEF2557DF27B30F2D,https://testnet.xrpl.org/transactions/8265F78A665D07AB3BBF53AE992319C34A5DABF9222B203DEF2557DF27B30F2D
issuer,Payment,rnUXWp1Wkc1Cx9wMeCD1qLjBn2oNJeF4VQ,tesSUCCESS,,20651646,F3A0E75F6CCB34E805BE5C16924950F1CA0830832CE04143C2F0407540218861,https://testnet.xrpl.org/transactions/F3A0E75F6CCB34E805BE5C16924950F1CA0830832CE04143C2F0407540218861
issuer,Payment,rnUXWp1Wkc1Cx9wMeCD1qLjBn2oNJeF4VQ,tesSUCCESS,,20651647,0E0C66E720F4A6081C13657D8B4FCD7C935F255891674DCAE55E740484498D13,https://testnet.xrpl.org/transactions/0E0C66E720F4A6081C13657D8B4FCD7C935F255891674DCAE55E740484498D13
record,NFTokenMint,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,,20651649,C726C1B710111AAE1CF237901BC858EAC56179BE0666A681967DE1AFE39006A4,https://testnet.xrpl.org/transactions/C726C1B710111AAE1CF237901BC858EAC56179BE0666A681967DE1AFE39006A4
servicing:initial_deposit,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,F8694B3ADF052CBC32E18AAF6C8F5D87F617EBBBDFF5694617F04BF6AB165BB3,https://testnet.xrpl.org/transactions/F8694B3ADF052CBC32E18AAF6C8F5D87F617EBBBDFF5694617F04BF6AB165BB3
servicing:initial_deposit,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,DB38853A3BE62C8FE3183A3B96C47D2A5D1706FFA0FBD6E0F30C5ECC1116DD23,https://testnet.xrpl.org/transactions/DB38853A3BE62C8FE3183A3B96C47D2A5D1706FFA0FBD6E0F30C5ECC1116DD23
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,E2392EF54AA2B8A91D2AB91485F5E8066E881D41913265ADC21C316709C18711,https://testnet.xrpl.org/transactions/E2392EF54AA2B8A91D2AB91485F5E8066E881D41913265ADC21C316709C18711
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,47684E8988FAAAFC1808A6945DE2663E8F2DEF0BF76F5C095256BD41FEF490DE,https://testnet.xrpl.org/transactions/47684E8988FAAAFC1808A6945DE2663E8F2DEF0BF76F5C095256BD41FEF490DE
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,6CA21A66F0F34E9F5B90669DAC20F2CD41747B6A997A0CFD9DEFC9D4B3EAD0BC,https://testnet.xrpl.org/transactions/6CA21A66F0F34E9F5B90669DAC20F2CD41747B6A997A0CFD9DEFC9D4B3EAD0BC
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,3300FB9558E96C9BAA5A246D94A9B34141C2278C9FC9981442953A08EED111F8,https://testnet.xrpl.org/transactions/3300FB9558E96C9BAA5A246D94A9B34141C2278C9FC9981442953A08EED111F8
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,4A9494EC75233888DB7C6E59A27ACC73FD70E6C1FCE30368223C419CA0EB1481,https://testnet.xrpl.org/transactions/4A9494EC75233888DB7C6E59A27ACC73FD70E6C1FCE30368223C419CA0EB1481
servicing:mip_remit,Payment,rf7qRrUbtphcfY8bdL3b3gAuUS8ZusT2cj,tesSUCCESS,validated,,CA78BFBB22294E51352FDA14B835492C5B89831811FA7C618EBE9021D87BC27B,https://testnet.xrpl.org/transactions/CA78BFBB22294E51352FDA14B835492C5B89831811FA7C618EBE9021D87BC27B
servicing:receipt,Payment,rJF3Sh6dfMdoeEhUE2npuJWaGBSJ54qFus,tesSUCCESS,validated,,5289B968C0E0C3B5D5AD064D032C29CBB7C197AC69FEE050CB3EF36141B3ADAF,https://testnet.xrpl.org/transactions/5289B968C0E0C3B5D5AD064D032C29CBB7C197AC69FEE050CB3EF36141B3ADAF
servicing:pi,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,5094A3F9DDF514EE8A28BD7F3758C908D72D55B54DD7FAF53450CB02B4DDAF06,https://testnet.xrpl.org/transactions/5094A3F9DDF514EE8A28BD7F3758C908D72D55B54DD7FAF53450CB02B4DDAF06
servicing:tax,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,179937E74B12DB6D57295B724DCE5FC5CE953D5D49E152E88BA15F16C52C3150,https://testnet.xrpl.org/transactions/179937E74B12DB6D57295B724DCE5FC5CE953D5D49E152E88BA15F16C52C3150
servicing:hazard,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,D1D819C9CCB63150675F9549DD1B0D4A9CF346533234B5A9E369D0862303A64C,https://testnet.xrpl.org/transactions/D1D819C9CCB63150675F9549DD1B0D4A9CF346533234B5A9E369D0862303A64C
servicing:mip,Payment,rNMX6UVmofNPJLoHDrzcK1DHkZryyie417,tesSUCCESS,validated,,A69EBE0FD04BCF36957AC5BF600D081D8E870C9377FE05C293F704B336752B3D,https://testnet.xrpl.org/transactions/A69EBE0FD04BCF36957AC5BF600D081D8E870C9377FE05C293F704B336752B3D
